OrderID;Book;Channel;Units;Price;Revenue;Month;Returned
ORD-000118;Игры разума;Ozon;7;540;3780;2026-07;0
ORD-000119;Шёпот времени;WB;1;390;390;2026-07;0
ORD-000120;Тихий сад;Литрес;2;349;698;2026-07;0
ORD-000121;Северный экспресс;Ozon;3;449;1347;2026-07;0
ORD-000122;Дом у маяка;WB;4;299;1196;2026-07;0
ORD-000123;Игры разума;Литрес;5;540;2700;2026-07;0
ORD-000124;Шёпот времени;Ozon;6;390;2340;2026-07;0
ORD-000125;Тихий сад;WB;7;349;2443;2026-07;0
ORD-000126;Северный экспресс;Литрес;1;449;449;2026-07;0
ORD-000127;Дом у маяка;Ozon;2;299;598;2026-07;0
ORD-000128;Игры разума;WB;3;540;1620;2026-07;0
ORD-000129;Шёпот времени;Литрес;4;390;1560;2026-07;0
ORD-000130;Тихий сад;Ozon;5;349;1745;2026-07;0
ORD-000131;Северный экспресс;WB;6;449;2694;2026-07;0
ORD-000132;Дом у маяка;Литрес;7;299;2093;2026-07;0
ORD-000133;Игры разума;Ozon;1;540;540;2026-07;0
ORD-000134;Шёпот времени;WB;2;390;780;2026-07;0
ORD-000135;Тихий сад;Литрес;3;349;1047;2026-07;0
ORD-000136;Северный экспресс;Ozon;4;449;1796;2026-07;0
ORD-000137;Дом у маяка;WB;5;299;1495;2026-07;0
ORD-000138;Игры разума;Литрес;6;540;3240;2026-07;0
ORD-000139;Шёпот времени;Ozon;7;390;2730;2026-07;0
ORD-000140;Тихий сад;WB;1;349;349;2026-07;0
ORD-000141;Северный экспресс;Литрес;2;449;898;2026-07;0
ORD-000142;Дом у маяка;Ozon;3;299;897;2026-07;0
ORD-000143;Игры разума;WB;4;540;2160;2026-07;0
ORD-000144;Шёпот времени;Литрес;5;390;1950;2026-07;0
ORD-000145;Тихий сад;Ozon;6;349;2094;2026-07;0
ORD-000146;Северный экспресс;WB;7;449;3143;2026-07;0
ORD-000147;Дом у маяка;Литрес;1;299;299;2026-07;0
ORD-000148;Игры разума;Ozon;2;540;1080;2026-07;0
ORD-000149;Шёпот времени;WB;3;390;1170;2026-07;0
ORD-000150;Тихий сад;Литрес;4;349;1396;2026-07;0
ORD-000151;Северный экспресс;Ozon;5;449;2245;2026-07;0
ORD-000152;Дом у маяка;WB;6;299;1794;2026-07;0
ORD-000153;Игры разума;Литрес;7;540;3780;2026-07;0
ORD-000154;Шёпот времени;Ozon;1;390;390;2026-07;0
ORD-000155;Тихий сад;WB;2;349;698;2026-07;0
ORD-000156;Северный экспресс;Литрес;3;449;1347;2026-07;0
ORD-000157;Дом у маяка;Ozon;4;299;1196;2026-07;0
ORD-000158;Игры разума;WB;5;540;2700;2026-07;0
ORD-000159;Шёпот времени;Литрес;6;390;2340;2026-07;0
ORD-000160;Тихий сад;Ozon;7;349;2443;2026-07;0
ORD-000161;Северный экспресс;WB;1;449;449;2026-07;0
ORD-000162;Дом у маяка;Литрес;2;299;598;2026-07;0
ORD-000163;Игры разума;Ozon;3;540;1620;2026-07;0
ORD-000164;Шёпот времени;WB;4;390;1560;2026-07;0
ORD-000165;Тихий сад;Литрес;5;349;1745;2026-07;0
ORD-000166;Северный экспресс;Ozon;6;449;2694;2026-07;0
ORD-000167;Дом у маяка;WB;7;299;2093;2026-07;0
ORD-000168;Игры разума;Литрес;1;540;540;2026-07;0
ORD-000169;Шёпот времени;Ozon;2;390;780;2026-07;0
ORD-000170;Тихий сад;WB;3;349;1047;2026-07;0
ORD-000171;Северный экспресс;Литрес;4;449;1796;2026-07;0
ORD-000172;Дом у маяка;Ozon;5;299;1495;2026-07;0
ORD-000173;Игры разума;WB;6;540;3240;2026-07;0
ORD-000174;Шёпот времени;Литрес;7;390;2730;2026-07;0
ORD-000175;Тихий сад;Ozon;1;349;349;2026-07;0
ORD-000176;Северный экспресс;WB;2;449;898;2026-07;0
ORD-000177;Дом у маяка;Литрес;3;299;897;2026-07;0
ORD-000178;Игры разума;Ozon;4;540;2160;2026-07;0
ORD-000179;Шёпот времени;WB;5;390;1950;2026-07;0
ORD-000180;Тихий сад;Литрес;6;349;2094;2026-07;0
ORD-000181;Северный экспресс;Ozon;7;449;3143;2026-07;0
ORD-000182;Дом у маяка;WB;1;299;299;2026-07;0
ORD-000183;Игры разума;Литрес;2;540;1080;2026-07;0
ORD-000184;Шёпот времени;Ozon;3;390;1170;2026-07;0
ORD-000185;Тихий сад;WB;4;349;1396;2026-07;0
ORD-000186;Северный экспресс;Литрес;5;449;2245;2026-07;0
ORD-000187;Дом у маяка;Ozon;6;299;1794;2026-07;0
ORD-000188;Игры разума;WB;7;540;3780;2026-07;0
ORD-000189;Шёпот времени;Литрес;1;390;390;2026-07;0
ORD-000190;Тихий сад;Ozon;2;349;698;2026-07;0
ORD-000191;Северный экспресс;WB;3;449;1347;2026-07;0
ORD-000192;Дом у маяка;Литрес;4;299;1196;2026-07;0
ORD-000193;Игры разума;Ozon;5;540;2700;2026-07;0
ORD-000194;Шёпот времени;WB;6;390;2340;2026-07;0
ORD-000195;Тихий сад;Литрес;7;349;2443;2026-07;0
ORD-000196;Северный экспресс;Ozon;1;449;449;2026-07;0
ORD-000197;Дом у маяка;WB;2;299;598;2026-07;0
ORD-000198;Игры разума;Литрес;3;540;1620;2026-07;0
ORD-000199;Шёпот времени;Ozon;4;390;1560;2026-07;0
ORD-000200;Тихий сад;WB;5;349;1745;2026-07;0
ORD-000201;Северный экспресс;Литрес;6;449;2694;2026-07;0
ORD-000202;Дом у маяка;Ozon;7;299;2093;2026-07;0
ORD-000203;Игры разума;WB;1;540;540;2026-07;0
ORD-000204;Шёпот времени;Литрес;2;390;780;2026-07;0
ORD-000205;Тихий сад;Ozon;3;349;1047;2026-07;0
ORD-000206;Северный экспресс;WB;4;449;1796;2026-07;0
ORD-000207;Дом у маяка;Литрес;5;299;1495;2026-07;0
ORD-000208;Игры разума;Ozon;6;540;3240;2026-07;0
ORD-000209;Шёпот времени;WB;7;390;2730;2026-07;0
ORD-000210;Тихий сад;Литрес;1;349;349;2026-07;0
ORD-000211;Северный экспресс;Ozon;2;449;898;2026-07;0
ORD-000212;Дом у маяка;WB;3;299;897;2026-07;0
ORD-000213;Игры разума;Литрес;4;540;2160;2026-07;0
ORD-000214;Шёпот времени;Ozon;5;390;1950;2026-07;0
ORD-000215;Тихий сад;WB;6;349;2094;2026-07;0
ORD-000216;Северный экспресс;Литрес;7;449;3143;2026-07;0
ORD-000217;Дом у маяка;Ozon;1;299;299;2026-07;0
ORD-000218;Игры разума;WB;2;540;1080;2026-07;0
ORD-000219;Шёпот времени;Литрес;3;390;1170;2026-07;0
ORD-000220;Тихий сад;Ozon;4;349;1396;2026-07;0
ORD-000221;Северный экспресс;WB;5;449;2245;2026-07;0
ORD-000222;Дом у маяка;Литрес;6;299;1794;2026-07;0
ORD-000223;Игры разума;Ozon;7;540;3780;2026-07;0
ORD-000224;Шёпот времени;WB;1;390;390;2026-07;0
ORD-000225;Тихий сад;Литрес;2;349;698;2026-07;0
ORD-000226;Северный экспресс;Ozon;3;449;1347;2026-07;0
ORD-000227;Дом у маяка;WB;4;299;1196;2026-07;0
ORD-000228;Игры разума;Литрес;5;540;2700;2026-07;0
ORD-000229;Шёпот времени;Ozon;6;390;2340;2026-07;0
ORD-000230;Тихий сад;WB;7;349;2443;2026-07;0
ORD-000231;Северный экспресс;Литрес;1;449;449;2026-07;0
ORD-000232;Дом у маяка;Ozon;2;299;598;2026-07;0
ORD-000233;Игры разума;WB;3;540;1620;2026-07;0
ORD-000234;Шёпот времени;Литрес;4;390;1560;2026-07;0
ORD-000235;Тихий сад;Ozon;5;349;1745;2026-07;0
ORD-000236;Северный экспресс;WB;6;449;2694;2026-07;0
ORD-000237;Дом у маяка;Литрес;7;299;2093;2026-07;0
ORD-000238;Игры разума;Ozon;1;540;540;2026-07;0
ORD-000239;Шёпот времени;WB;2;390;780;2026-07;0
ORD-000240;Тихий сад;Литрес;3;349;1047;2026-07;0
ORD-000241;Северный экспресс;Ozon;4;449;1796;2026-07;0
ORD-000242;Дом у маяка;WB;5;299;1495;2026-07;0
ORD-000243;Игры разума;Литрес;6;540;3240;2026-07;0
ORD-000244;Шёпот времени;Ozon;7;390;2730;2026-07;0
ORD-000245;Тихий сад;WB;1;349;349;2026-07;0
ORD-000246;Северный экспресс;Литрес;2;449;898;2026-07;0
ORD-000247;Дом у маяка;Ozon;3;299;897;2026-07;0
ORD-000248;Игры разума;WB;4;540;2160;2026-07;0
ORD-000249;Шёпот времени;Литрес;5;390;1950;2026-07;0
ORD-000250;Тихий сад;Ozon;6;349;2094;2026-07;0
ORD-000251;Северный экспресс;WB;7;449;3143;2026-07;0
ORD-000252;Дом у маяка;Литрес;1;299;299;2026-07;0
ORD-000253;Игры разума;Ozon;2;540;1080;2026-07;0
ORD-000254;Шёпот времени;WB;3;390;1170;2026-07;0
ORD-000255;Тихий сад;Литрес;4;349;1396;2026-07;0
ORD-000256;Северный экспресс;Ozon;5;449;2245;2026-07;0
ORD-000257;Дом у маяка;WB;6;299;1794;2026-07;0
ORD-000258;Игры разума;Литрес;7;540;3780;2026-07;0
ORD-000259;Шёпот времени;Ozon;1;390;390;2026-07;0
ORD-000260;Тихий сад;WB;2;349;698;2026-07;0
ORD-000261;Северный экспресс;Литрес;3;449;1347;2026-07;0
ORD-000262;Дом у маяка;Ozon;4;299;1196;2026-07;0
ORD-000263;Игры разума;WB;5;540;2700;2026-07;0
ORD-000264;Шёпот времени;Литрес;6;390;2340;2026-07;0
ORD-000265;Тихий сад;Ozon;7;349;2443;2026-07;0
ORD-000266;Северный экспресс;WB;1;449;449;2026-07;0
ORD-000267;Дом у маяка;Литрес;2;299;598;2026-07;0
ORD-000268;Игры разума;Ozon;3;540;1620;2026-07;0
ORD-000269;Шёпот времени;WB;4;390;1560;2026-07;0
ORD-000270;Тихий сад;Литрес;5;349;1745;2026-07;0
ORD-000271;Северный экспресс;Ozon;6;449;2694;2026-07;0
ORD-000272;Дом у маяка;WB;7;299;2093;2026-07;0
ORD-000273;Игры разума;Литрес;1;540;540;2026-07;0
ORD-000274;Шёпот времени;Ozon;2;390;780;2026-07;0
ORD-000275;Тихий сад;WB;3;349;1047;2026-07;0
ORD-000276;Северный экспресс;Литрес;4;449;1796;2026-07;0
ORD-000277;Дом у маяка;Ozon;5;299;1495;2026-07;0
ORD-000278;Игры разума;WB;6;540;3240;2026-07;0
ORD-000279;Шёпот времени;Литрес;7;390;2730;2026-07;0
ORD-000280;Тихий сад;Ozon;1;349;349;2026-07;0
ORD-000281;Северный экспресс;WB;2;449;898;2026-07;0
ORD-000282;Дом у маяка;Литрес;3;299;897;2026-07;0
ORD-000283;Игры разума;Ozon;4;540;2160;2026-07;0
ORD-000284;Шёпот времени;WB;5;390;1950;2026-07;0
ORD-000285;Тихий сад;Литрес;6;349;2094;2026-07;0
ORD-000286;Северный экспресс;Ozon;7;449;3143;2026-07;0
ORD-000287;Дом у маяка;WB;1;299;299;2026-07;0
ORD-000288;Игры разума;Литрес;2;540;1080;2026-07;0
ORD-000289;Шёпот времени;Ozon;3;390;1170;2026-07;0
ORD-000290;Тихий сад;WB;4;349;1396;2026-07;0
ORD-000291;Северный экспресс;Литрес;5;449;2245;2026-07;0
ORD-000292;Дом у маяка;Ozon;6;299;1794;2026-07;0
ORD-000293;Игры разума;WB;7;540;3780;2026-07;0
ORD-000294;Шёпот времени;Литрес;1;390;390;2026-07;0
ORD-000295;Тихий сад;Ozon;2;349;698;2026-07;0
ORD-000296;Северный экспресс;WB;3;449;1347;2026-07;0
ORD-000297;Дом у маяка;Литрес;4;299;1196;2026-07;0
ORD-000298;Игры разума;Ozon;5;540;2700;2026-07;0
ORD-000299;Шёпот времени;WB;6;390;2340;2026-07;0
ORD-000300;Тихий сад;Литрес;7;349;2443;2026-07;0
ORD-000301;Северный экспресс;Ozon;1;449;549;2026-07;0
ORD-000302;Дом у маяка;WB;2;299;598;2026-07;0
ORD-000303;Игры разума;Литрес;3;540;1620;2026-07;0
ORD-000304;Шёпот времени;Ozon;4;390;1560;2026-07;0
ORD-000305;Тихий сад;WB;5;349;1745;2026-07;0
ORD-000306;Северный экспресс;Литрес;6;449;2694;2026-07;0
ORD-000307;Дом у маяка;Ozon;7;299;2093;2026-07;0
ORD-000308;Игры разума;WB;1;540;540;2026-07;0
ORD-000309;Шёпот времени;Литрес;2;390;780;2026-07;0
ORD-000310;Тихий сад;Ozon;3;349;1047;2026-07;0
ORD-000311;Северный экспресс;WB;4;449;1796;2026-07;0
ORD-000312;Дом у маяка;Литрес;5;299;1495;2026-07;0
ORD-000313;Игры разума;Ozon;6;540;3240;2026-07;0
ORD-000314;Шёпот времени;WB;7;390;2730;2026-07;0
ORD-000315;Тихий сад;Литрес;1;349;349;2026-07;0
ORD-000316;Северный экспресс;Ozon;2;449;898;2026-07;0
ORD-000317;Дом у маяка;WB;3;299;897;2026-07;0
ORD-000318;Игры разума;Литрес;4;540;2160;2026-07;0
ORD-000319;Шёпот времени;Ozon;5;390;1950;2026-07;0
ORD-000320;Тихий сад;WB;6;349;2094;2026-07;0
ORD-000321;Северный экспресс;Литрес;7;449;3143;2026-07;0
ORD-000322;Дом у маяка;Ozon;1;299;299;2026-07;0
ORD-000323;Игры разума;WB;2;540;1080;2026-07;0
ORD-000324;Шёпот времени;Литрес;3;390;1170;2026-07;0
ORD-000325;Тихий сад;Ozon;4;349;1396;2026-07;0
ORD-000326;Северный экспресс;WB;5;449;2245;2026-07;0
ORD-000327;Дом у маяка;Литрес;6;299;1794;2026-07;0
ORD-000328;Игры разума;Ozon;7;540;3780;2026-07;0
ORD-000329;Шёпот времени;WB;1;390;390;2026-07;0
ORD-000330;Тихий сад;Литрес;2;349;698;2026-07;0
ORD-000331;Северный экспресс;Ozon;3;449;1347;2026-07;0
ORD-000332;Дом у маяка;WB;4;299;1196;2026-07;0
ORD-000333;Игры разума;Литрес;5;540;2700;2026-07;0
ORD-000334;Шёпот времени;Ozon;6;390;2340;2026-07;0
ORD-000335;Тихий сад;WB;7;349;2443;2026-07;0
ORD-000336;Северный экспресс;Литрес;1;449;449;2026-07;0
ORD-000337;Дом у маяка;Ozon;2;299;598;2026-07;0
ORD-000338;Игры разума;WB;3;540;1620;2026-07;0
ORD-000339;Шёпот времени;Литрес;4;390;1560;2026-07;0
ORD-000340;Тихий сад;Ozon;5;349;1745;2026-07;0
ORD-000341;Северный экспресс;WB;6;449;2694;2026-07;0
ORD-000342;Дом у маяка;Литрес;7;299;2093;2026-07;0
ORD-000343;Игры разума;Ozon;1;540;540;2026-07;0
ORD-000344;Шёпот времени;WB;2;390;780;2026-07;0
ORD-000345;Тихий сад;Литрес;3;349;1047;2026-07;0
ORD-000346;Северный экспресс;Ozon;4;449;1796;2026-07;0
ORD-000347;Дом у маяка;WB;5;299;1495;2026-07;0
ORD-000348;Игры разума;Литрес;6;540;3240;2026-07;0
ORD-000349;Шёпот времени;Ozon;7;390;2730;2026-07;0
ORD-000350;Тихий сад;WB;1;349;349;2026-07;0
ORD-000351;Северный экспресс;Литрес;2;449;898;2026-07;0
ORD-000352;Дом у маяка;Ozon;3;299;897;2026-07;0
ORD-000353;Игры разума;WB;4;540;2160;2026-07;0
ORD-000354;Шёпот времени;Литрес;5;390;1950;2026-07;0
ORD-000355;Тихий сад;Ozon;6;349;2094;2026-07;0
ORD-000356;Северный экспресс;WB;7;449;3143;2026-07;0
ORD-000357;Дом у маяка;Литрес;1;299;299;2026-07;0
ORD-000358;Игры разума;Ozon;2;540;1080;2026-07;0
ORD-000359;Шёпот времени;WB;3;390;1170;2026-07;0
ORD-000360;Тихий сад;Литрес;4;349;1396;2026-07;0
ORD-000361;Северный экспресс;Ozon;5;449;2245;2026-07;0
ORD-000362;Дом у маяка;WB;6;299;1794;2026-07;0
ORD-000363;Игры разума;Литрес;7;540;3780;2026-07;0
ORD-000364;Шёпот времени;Ozon;1;390;390;2026-07;0
ORD-000365;Тихий сад;WB;2;349;698;2026-07;0
ORD-000366;Северный экспресс;Литрес;3;449;1347;2026-07;0
ORD-000367;Дом у маяка;Ozon;4;299;1196;2026-07;0
ORD-000368;Игры разума;WB;5;540;2700;2026-07;0
ORD-000369;Шёпот времени;Литрес;6;390;2340;2026-07;0
ORD-000370;Тихий сад;Ozon;7;349;2443;2026-07;0
ORD-000371;Северный экспресс;WB;1;449;449;2026-07;0
ORD-000372;Дом у маяка;Литрес;2;299;598;2026-07;0
ORD-000373;Игры разума;Ozon;3;540;1620;2026-07;0
ORD-000374;Шёпот времени;WB;4;390;1560;2026-07;0
ORD-000375;Тихий сад;Литрес;5;349;1745;2026-07;0
ORD-000376;Северный экспресс;Ozon;6;449;2694;2026-07;0
ORD-000377;Дом у маяка;WB;7;299;2093;2026-07;0
ORD-000378;Игры разума;Литрес;1;540;540;2026-07;0
ORD-000379;Шёпот времени;Ozon;2;390;780;2026-07;0
ORD-000380;Тихий сад;WB;3;349;1047;2026-07;0
ORD-000381;Северный экспресс;Литрес;4;449;1796;2026-07;0
ORD-000382;Дом у маяка;Ozon;5;299;1495;2026-07;0
ORD-000383;Игры разума;WB;6;540;3240;2026-07;0
ORD-000384;Шёпот времени;Литрес;7;390;2730;2026-07;0
ORD-000385;Тихий сад;Ozon;1;349;349;2026-07;0
ORD-000386;Северный экспресс;WB;2;449;898;2026-07;0
ORD-000387;Дом у маяка;Литрес;3;299;897;2026-07;0
ORD-000388;Игры разума;Ozon;4;540;2160;2026-07;0
ORD-000389;Шёпот времени;WB;5;390;1950;2026-07;0
ORD-000390;Тихий сад;Литрес;6;349;2094;2026-07;0
ORD-000391;Северный экспресс;Ozon;7;449;3143;2026-07;0
ORD-000392;Дом у маяка;WB;1;299;299;2026-07;0
ORD-000393;Игры разума;Литрес;2;540;1080;2026-07;0
ORD-000394;Шёпот времени;Ozon;3;390;1170;2026-07;0
ORD-000395;Тихий сад;WB;4;349;1396;2026-07;0
ORD-000396;Северный экспресс;Литрес;5;449;2245;2026-07;0
ORD-000397;Дом у маяка;Ozon;6;299;1794;2026-07;0
ORD-000398;Игры разума;WB;7;540;3780;2026-07;0
ORD-000399;Шёпот времени;Литрес;1;390;390;2026-07;0
ORD-000400;Тихий сад;Ozon;2;349;698;2026-07;0
ORD-000401;Северный экспресс;WB;3;449;1347;2026-07;0
ORD-000402;Дом у маяка;Литрес;4;299;1196;2026-07;0
ORD-000403;Игры разума;Ozon;5;540;2700;2026-07;0
ORD-000404;Шёпот времени;WB;6;390;2340;2026-07;0
ORD-000405;Тихий сад;Литрес;7;349;2443;2026-07;0
ORD-000406;Северный экспресс;Ozon;1;449;449;2026-07;0
ORD-000407;Дом у маяка;WB;2;299;598;2026-07;0
ORD-000408;Игры разума;Литрес;3;540;1620;2026-07;0
ORD-000409;Шёпот времени;Ozon;4;390;1560;2026-07;0
ORD-000410;Тихий сад;WB;5;349;1745;2026-07;0
ORD-000411;Северный экспресс;Литрес;6;449;2694;2026-07;0
ORD-000412;Дом у маяка;Ozon;7;299;2093;2026-07;0
ORD-000413;Игры разума;WB;1;540;540;2026-07;0
ORD-000414;Шёпот времени;Литрес;2;390;780;2026-07;0
ORD-000415;Тихий сад;Ozon;3;349;1047;2026-07;0
ORD-000416;Северный экспресс;WB;4;449;1796;2026-07;0
ORD-000417;Дом у маяка;Литрес;5;299;1495;2026-07;0
ORD-000418;Игры разума;Ozon;6;540;3240;2026-07;0
ORD-000419;Шёпот времени;WB;7;390;2730;2026-07;0
ORD-000420;Тихий сад;Литрес;1;349;349;2026-07;0
ORD-000421;Северный экспресс;Ozon;2;449;898;2026-07;0
ORD-000422;Дом у маяка;WB;3;299;897;2026-07;0
ORD-000423;Игры разума;Литрес;4;540;2160;2026-07;0
ORD-000424;Шёпот времени;Ozon;5;390;1950;2026-07;0
ORD-000425;Тихий сад;WB;6;349;2094;2026-07;0
ORD-000426;Северный экспресс;Литрес;7;449;3143;2026-07;0
ORD-000427;Дом у маяка;Ozon;1;299;299;2026-07;0
ORD-000428;Игры разума;WB;2;540;1080;2026-07;0
ORD-000429;Шёпот времени;Литрес;3;390;1170;2026-07;0
