ShipmentWeek;OutletID;BookID;Book;Units;GrossAmount
2026-W27;P002;B023;Музыка дождя;11;8140
2026-W27;P002;B024;Книга открытий;12;9120
2026-W27;P003;B001;Тихий сад;13;3900
2026-W27;P003;B002;Северный экспресс;14;4480
2026-W27;P003;B003;Дом у маяка;10;3400
2026-W27;P003;B004;Игры разума;11;3960
2026-W27;P003;B005;Шёпот времени;12;4560
2026-W27;P003;B006;Дорога домой;13;5200
2026-W27;P003;B007;Новый горизонт;14;5880
2026-W27;P003;B008;История города;10;4400
2026-W27;P003;B009;Морской ветер;11;5060
2026-W27;P003;B010;Зимний свет;12;5760
2026-W27;P003;B011;Летние письма;13;6500
2026-W27;P003;B012;Семейный альбом;14;7280
2026-W27;P003;B013;Научный поиск;10;5400
2026-W27;P003;B014;Большое путешествие;11;6160
2026-W27;P003;B015;Сила привычки;12;6960
2026-W27;P003;B016;Язык чисел;13;7800
2026-W27;P003;B017;Время читать;14;8680
2026-W27;P003;B018;Открытая дверь;10;6400
2026-W27;P003;B019;Дальний берег;11;7260
2026-W27;P003;B020;Карта мира;12;8160
2026-W27;P003;B021;Садовые истории;13;9100
2026-W27;P003;B022;Точка отсчёта;14;10080
2026-W27;P003;B023;Музыка дождя;10;7400
2026-W27;P003;B024;Книга открытий;11;8360
2026-W27;P004;B001;Тихий сад;12;3600
2026-W27;P004;B002;Северный экспресс;13;4160
2026-W27;P004;B003;Дом у маяка;14;4760
2026-W27;P004;B004;Игры разума;10;3600
2026-W27;P004;B005;Шёпот времени;11;4180
2026-W27;P004;B006;Дорога домой;12;4800
2026-W27;P004;B007;Новый горизонт;13;5460
2026-W27;P004;B008;История города;14;6160
2026-W27;P004;B009;Морской ветер;10;4600
2026-W27;P004;B010;Зимний свет;11;5280
2026-W27;P004;B011;Летние письма;12;6000
2026-W27;P004;B012;Семейный альбом;13;6760
2026-W27;P004;B013;Научный поиск;14;7560
2026-W27;P004;B014;Большое путешествие;10;5600
2026-W27;P004;B015;Сила привычки;11;6380
2026-W27;P004;B016;Язык чисел;12;7200
2026-W27;P004;B017;Время читать;13;8060
2026-W27;P004;B018;Открытая дверь;14;8960
2026-W27;P004;B019;Дальний берег;10;6600
2026-W27;P004;B020;Карта мира;11;7480
2026-W27;P004;B021;Садовые истории;12;8400
2026-W27;P004;B022;Точка отсчёта;13;9360
2026-W27;P004;B023;Музыка дождя;14;10360
2026-W27;P004;B024;Книга открытий;10;7600
2026-W27;P005;B001;Тихий сад;11;3300
2026-W27;P005;B002;Северный экспресс;12;3840
2026-W27;P005;B003;Дом у маяка;13;4420
2026-W27;P005;B004;Игры разума;14;5040
2026-W27;P005;B005;Шёпот времени;10;3800
2026-W27;P005;B006;Дорога домой;11;4400
2026-W27;P005;B007;Новый горизонт;12;5040
2026-W27;P005;B008;История города;13;5720
2026-W27;P005;B009;Морской ветер;14;6440
2026-W27;P005;B010;Зимний свет;10;4800
2026-W27;P005;B011;Летние письма;11;5500
2026-W27;P005;B012;Семейный альбом;12;6240
2026-W27;P005;B013;Научный поиск;13;7020
2026-W27;P005;B014;Большое путешествие;14;7840
2026-W27;P005;B015;Сила привычки;10;5800
2026-W27;P005;B016;Язык чисел;11;6600
2026-W27;P005;B017;Время читать;12;7440
2026-W27;P005;B018;Открытая дверь;13;8320
2026-W27;P005;B019;Дальний берег;14;9240
2026-W27;P005;B020;Карта мира;10;6800
2026-W27;P005;B021;Садовые истории;11;7700
2026-W27;P005;B022;Точка отсчёта;12;8640
2026-W27;P005;B023;Музыка дождя;13;9620
2026-W27;P005;B024;Книга открытий;14;10640
2026-W27;P006;B001;Тихий сад;10;3000
2026-W27;P006;B002;Северный экспресс;11;3520
2026-W27;P006;B003;Дом у маяка;12;4080
2026-W27;P006;B004;Игры разума;13;4680
2026-W27;P006;B005;Шёпот времени;14;5320
2026-W27;P006;B006;Дорога домой;10;4000
2026-W27;P006;B007;Новый горизонт;11;4620
2026-W27;P006;B008;История города;12;5280
2026-W27;P006;B009;Морской ветер;13;5980
2026-W27;P006;B010;Зимний свет;14;6720
2026-W27;P006;B011;Летние письма;10;5000
2026-W27;P006;B012;Семейный альбом;11;5720
2026-W27;P006;B013;Научный поиск;12;6480
2026-W27;P006;B014;Большое путешествие;13;7280
2026-W27;P006;B015;Сила привычки;14;8120
2026-W27;P006;B016;Язык чисел;10;6000
2026-W27;P006;B017;Время читать;11;6820
2026-W27;P006;B018;Открытая дверь;12;7680
2026-W27;P006;B019;Дальний берег;13;8580
2026-W27;P006;B020;Карта мира;14;9520
2026-W27;P006;B021;Садовые истории;10;7000
2026-W27;P006;B022;Точка отсчёта;11;7920
2026-W27;P006;B023;Музыка дождя;12;8880
2026-W27;P006;B024;Книга открытий;13;9880
2026-W27;P007;B001;Тихий сад;14;4200
2026-W27;P007;B002;Северный экспресс;10;3200
2026-W27;P007;B003;Дом у маяка;11;3740
2026-W27;P007;B004;Игры разума;12;4320
2026-W27;P007;B005;Шёпот времени;13;4940
2026-W27;P007;B006;Дорога домой;14;5600
2026-W27;P007;B007;Новый горизонт;10;4200
2026-W27;P007;B008;История города;11;4840
2026-W27;P007;B009;Морской ветер;12;5520
2026-W27;P007;B010;Зимний свет;13;6240
2026-W27;P007;B011;Летние письма;14;7000
2026-W27;P007;B012;Семейный альбом;10;5200
2026-W27;P007;B013;Научный поиск;11;5940
2026-W27;P007;B014;Большое путешествие;12;6720
2026-W27;P007;B015;Сила привычки;13;7540
2026-W27;P007;B016;Язык чисел;14;8400
2026-W27;P007;B017;Время читать;10;6200
2026-W27;P007;B018;Открытая дверь;11;7040
2026-W27;P007;B019;Дальний берег;12;7920
2026-W27;P007;B020;Карта мира;13;8840
2026-W27;P007;B021;Садовые истории;14;9800
2026-W27;P007;B022;Точка отсчёта;10;7200
2026-W27;P007;B023;Музыка дождя;11;8140
2026-W27;P007;B024;Книга открытий;12;9120
2026-W27;P008;B001;Тихий сад;13;3900
2026-W27;P008;B002;Северный экспресс;14;4480
2026-W27;P008;B003;Дом у маяка;10;3400
2026-W27;P008;B004;Игры разума;11;3960
2026-W27;P008;B005;Шёпот времени;12;4560
2026-W27;P008;B006;Дорога домой;13;5200
2026-W27;P008;B007;Новый горизонт;14;5880
2026-W27;P008;B008;История города;10;4400
2026-W27;P008;B009;Морской ветер;11;5060
2026-W27;P008;B010;Зимний свет;12;5760
2026-W27;P008;B011;Летние письма;13;6500
2026-W27;P008;B012;Семейный альбом;14;7280
2026-W27;P008;B013;Научный поиск;10;5400
2026-W27;P008;B014;Большое путешествие;11;6160
2026-W27;P008;B015;Сила привычки;12;6960
2026-W27;P008;B016;Язык чисел;13;7800
2026-W27;P008;B017;Время читать;14;8680
2026-W27;P008;B018;Открытая дверь;10;6400
2026-W27;P008;B019;Дальний берег;11;7260
2026-W27;P008;B020;Карта мира;12;8160
2026-W27;P008;B021;Садовые истории;13;9100
2026-W27;P008;B022;Точка отсчёта;14;10080
2026-W27;P008;B023;Музыка дождя;10;7400
2026-W27;P008;B024;Книга открытий;11;8360
2026-W27;P009;B001;Тихий сад;12;3600
2026-W27;P009;B002;Северный экспресс;13;4160
2026-W27;P009;B003;Дом у маяка;14;4760
2026-W27;P009;B004;Игры разума;10;3600
2026-W27;P009;B005;Шёпот времени;11;4180
2026-W27;P009;B006;Дорога домой;12;4800
2026-W27;P009;B007;Новый горизонт;13;5460
2026-W27;P009;B008;История города;14;6160
2026-W27;P009;B009;Морской ветер;10;4600
2026-W27;P009;B010;Зимний свет;11;5280
2026-W27;P009;B011;Летние письма;12;6000
2026-W27;P009;B012;Семейный альбом;13;6760
2026-W27;P009;B013;Научный поиск;14;7560
2026-W27;P009;B014;Большое путешествие;10;5600
2026-W27;P009;B015;Сила привычки;11;6380
2026-W27;P009;B016;Язык чисел;12;7200
2026-W27;P009;B017;Время читать;13;8060
2026-W27;P009;B018;Открытая дверь;14;8960
2026-W27;P009;B019;Дальний берег;10;6600
2026-W27;P009;B020;Карта мира;11;7480
2026-W27;P009;B021;Садовые истории;12;8400
2026-W27;P009;B022;Точка отсчёта;13;9360
2026-W27;P009;B023;Музыка дождя;14;10360
2026-W27;P009;B024;Книга открытий;10;7600
2026-W27;P010;B001;Тихий сад;11;3300
2026-W27;P010;B002;Северный экспресс;12;3840
2026-W27;P010;B003;Дом у маяка;13;4420
2026-W27;P010;B004;Игры разума;14;5040
2026-W27;P010;B005;Шёпот времени;10;3800
2026-W27;P010;B006;Дорога домой;11;4400
2026-W27;P010;B007;Новый горизонт;12;5040
2026-W27;P010;B008;История города;13;5720
2026-W27;P010;B009;Морской ветер;14;6440
2026-W27;P010;B010;Зимний свет;10;4800
2026-W27;P010;B011;Летние письма;11;5500
2026-W27;P010;B012;Семейный альбом;12;6240
2026-W27;P010;B013;Научный поиск;13;7020
2026-W27;P010;B014;Большое путешествие;14;7840
2026-W27;P010;B015;Сила привычки;10;5800
2026-W27;P010;B016;Язык чисел;11;6600
2026-W27;P010;B017;Время читать;12;7440
2026-W27;P010;B018;Открытая дверь;13;8320
2026-W27;P010;B019;Дальний берег;14;9240
2026-W27;P010;B020;Карта мира;10;6800
2026-W27;P010;B021;Садовые истории;11;7700
2026-W27;P010;B022;Точка отсчёта;12;8640
2026-W27;P010;B023;Музыка дождя;13;9620
2026-W27;P010;B024;Книга открытий;14;10640
2026-W27;P011;B001;Тихий сад;10;3000
2026-W27;P011;B002;Северный экспресс;11;3520
2026-W27;P011;B003;Дом у маяка;12;4080
2026-W27;P011;B004;Игры разума;13;4680
2026-W27;P011;B005;Шёпот времени;14;5320
2026-W27;P011;B006;Дорога домой;10;4000
2026-W27;P011;B007;Новый горизонт;11;4620
2026-W27;P011;B008;История города;12;5280
2026-W27;P011;B009;Морской ветер;13;5980
2026-W27;P011;B010;Зимний свет;14;6720
2026-W27;P011;B011;Летние письма;10;5000
2026-W27;P011;B012;Семейный альбом;11;5720
2026-W27;P011;B013;Научный поиск;12;6480
2026-W27;P011;B014;Большое путешествие;13;7280
2026-W27;P011;B015;Сила привычки;14;8120
2026-W27;P011;B016;Язык чисел;10;6000
2026-W27;P011;B017;Время читать;11;6820
2026-W27;P011;B018;Открытая дверь;12;7680
2026-W27;P011;B019;Дальний берег;13;8580
2026-W27;P011;B020;Карта мира;14;9520
2026-W27;P011;B021;Садовые истории;10;7000
2026-W27;P011;B022;Точка отсчёта;11;7920
2026-W27;P011;B023;Музыка дождя;12;8880
2026-W27;P011;B024;Книга открытий;13;9880
2026-W27;P012;B001;Тихий сад;14;4200
2026-W27;P012;B002;Северный экспресс;10;3200
2026-W27;P012;B003;Дом у маяка;11;3740
2026-W27;P012;B004;Игры разума;12;4320
2026-W27;P012;B005;Шёпот времени;13;4940
2026-W27;P012;B006;Дорога домой;14;5600
2026-W27;P012;B007;Новый горизонт;10;4200
2026-W27;P012;B008;История города;11;4840
2026-W27;P012;B009;Морской ветер;12;5520
2026-W27;P012;B010;Зимний свет;13;6240
2026-W27;P012;B011;Летние письма;14;7000
2026-W27;P012;B012;Семейный альбом;10;5200
2026-W27;P012;B013;Научный поиск;11;5940
2026-W27;P012;B014;Большое путешествие;12;6720
2026-W27;P012;B015;Сила привычки;13;7540
2026-W27;P012;B016;Язык чисел;14;8400
2026-W27;P012;B017;Время читать;10;6200
2026-W27;P012;B018;Открытая дверь;11;7040
2026-W27;P012;B019;Дальний берег;12;7920
2026-W27;P012;B020;Карта мира;13;8840
2026-W27;P012;B021;Садовые истории;14;9800
2026-W27;P012;B022;Точка отсчёта;10;7200
2026-W27;P012;B023;Музыка дождя;11;8140
2026-W27;P012;B024;Книга открытий;12;9120
2026-W27;P013;B001;Тихий сад;13;3900
2026-W27;P013;B002;Северный экспресс;14;4480
2026-W27;P013;B003;Дом у маяка;10;3400
2026-W27;P013;B004;Игры разума;11;3960
2026-W27;P013;B005;Шёпот времени;12;4560
2026-W27;P013;B006;Дорога домой;13;5200
2026-W27;P013;B007;Новый горизонт;14;5880
2026-W27;P013;B008;История города;10;4400
2026-W27;P013;B009;Морской ветер;11;5060
2026-W27;P013;B010;Зимний свет;12;5760
2026-W27;P013;B011;Летние письма;13;6500
2026-W27;P013;B012;Семейный альбом;14;7280
2026-W27;P013;B013;Научный поиск;10;5400
2026-W27;P013;B014;Большое путешествие;11;6160
2026-W27;P013;B015;Сила привычки;12;6960
2026-W27;P013;B016;Язык чисел;13;7800
2026-W27;P013;B017;Время читать;14;8680
2026-W27;P013;B018;Открытая дверь;10;6400
2026-W27;P013;B019;Дальний берег;11;7260
2026-W27;P013;B020;Карта мира;12;8160
2026-W27;P013;B021;Садовые истории;13;9100
2026-W27;P013;B022;Точка отсчёта;14;10080
2026-W27;P013;B023;Музыка дождя;10;7400
2026-W27;P013;B024;Книга открытий;11;8360
2026-W27;P014;B001;Тихий сад;12;3600
2026-W27;P014;B002;Северный экспресс;13;4160
2026-W27;P014;B003;Дом у маяка;14;4760
2026-W27;P014;B004;Игры разума;10;3600
2026-W27;P014;B005;Шёпот времени;11;4180
2026-W27;P014;B006;Дорога домой;12;4800
2026-W27;P014;B007;Новый горизонт;13;5460
2026-W27;P014;B008;История города;14;6160
2026-W27;P014;B009;Морской ветер;10;4600
2026-W27;P014;B010;Зимний свет;11;5280
2026-W27;P014;B011;Летние письма;12;6000
2026-W27;P014;B012;Семейный альбом;13;6760
2026-W27;P014;B013;Научный поиск;14;7560
2026-W27;P014;B014;Большое путешествие;10;5600
2026-W27;P014;B015;Сила привычки;11;6380
2026-W27;P014;B016;Язык чисел;12;7200
2026-W27;P014;B017;Время читать;13;8060
2026-W27;P014;B018;Открытая дверь;14;8960
2026-W27;P014;B019;Дальний берег;10;6600
2026-W27;P014;B020;Карта мира;11;7480
2026-W27;P014;B021;Садовые истории;12;8400
2026-W27;P014;B022;Точка отсчёта;13;9360
2026-W27;P014;B023;Музыка дождя;14;10360
2026-W27;P014;B024;Книга открытий;10;7600
2026-W27;P015;B001;Тихий сад;11;3300
2026-W27;P015;B002;Северный экспресс;12;3840
2026-W27;P015;B003;Дом у маяка;13;4420
2026-W27;P015;B004;Игры разума;14;5040
2026-W27;P015;B005;Шёпот времени;10;3800
2026-W27;P015;B006;Дорога домой;11;4400
2026-W27;P015;B007;Новый горизонт;12;5040
2026-W27;P015;B008;История города;13;5720
2026-W27;P015;B009;Морской ветер;14;6440
2026-W27;P015;B010;Зимний свет;10;4800
2026-W27;P015;B011;Летние письма;11;5500
2026-W27;P015;B012;Семейный альбом;12;6240
2026-W27;P015;B013;Научный поиск;13;7020
2026-W27;P015;B014;Большое путешествие;14;7840
2026-W27;P015;B015;Сила привычки;10;5800
2026-W27;P015;B016;Язык чисел;11;6600
2026-W27;P015;B017;Время читать;12;7440
2026-W27;P015;B018;Открытая дверь;13;8320
2026-W27;P015;B019;Дальний берег;14;9240
2026-W27;P015;B020;Карта мира;10;6800
2026-W27;P015;B021;Садовые истории;11;7700
2026-W27;P015;B022;Точка отсчёта;12;8640
2026-W27;P015;B023;Музыка дождя;13;9620
2026-W27;P015;B024;Книга открытий;14;10640
2026-W27;P016;B001;Тихий сад;10;3000
2026-W27;P016;B002;Северный экспресс;11;3520
2026-W27;P016;B003;Дом у маяка;12;4080
2026-W27;P016;B004;Игры разума;13;4680
2026-W27;P016;B005;Шёпот времени;14;5320
2026-W27;P016;B006;Дорога домой;10;4000
2026-W27;P016;B007;Новый горизонт;11;4620
2026-W27;P016;B008;История города;12;5280
2026-W27;P016;B009;Морской ветер;13;5980
2026-W27;P016;B010;Зимний свет;14;6720
2026-W27;P016;B011;Летние письма;10;5000
2026-W27;P016;B012;Семейный альбом;11;5720
2026-W27;P016;B013;Научный поиск;12;6480
2026-W27;P016;B014;Большое путешествие;13;7280
2026-W27;P016;B015;Сила привычки;14;8120
2026-W27;P016;B016;Язык чисел;10;6000
2026-W27;P016;B017;Время читать;11;6820
2026-W27;P016;B018;Открытая дверь;12;7680
2026-W27;P016;B019;Дальний берег;13;8580
2026-W27;P016;B020;Карта мира;14;9520
2026-W27;P016;B021;Садовые истории;10;7000
2026-W27;P016;B022;Точка отсчёта;11;7920
2026-W27;P016;B023;Музыка дождя;12;8880
2026-W27;P016;B024;Книга открытий;13;9880
2026-W27;P017;B001;Тихий сад;14;4200
2026-W27;P017;B002;Северный экспресс;10;3200
2026-W27;P017;B003;Дом у маяка;11;3740
2026-W27;P017;B004;Игры разума;12;4320
2026-W27;P017;B005;Шёпот времени;13;4940
2026-W27;P017;B006;Дорога домой;14;5600
2026-W27;P017;B007;Новый горизонт;10;4200
2026-W27;P017;B008;История города;11;4840
2026-W27;P017;B009;Морской ветер;12;5520
2026-W27;P017;B010;Зимний свет;13;6240
2026-W27;P017;B011;Летние письма;14;7000
2026-W27;P017;B012;Семейный альбом;10;5200
2026-W27;P017;B013;Научный поиск;11;5940
2026-W27;P017;B014;Большое путешествие;12;6720
2026-W27;P017;B015;Сила привычки;13;7540
2026-W27;P017;B016;Язык чисел;14;8400
2026-W27;P017;B017;Время читать;10;6200
2026-W27;P017;B018;Открытая дверь;11;7040
2026-W27;P017;B019;Дальний берег;12;7920
2026-W27;P017;B020;Карта мира;13;8840
2026-W27;P017;B021;Садовые истории;14;9800
2026-W27;P017;B022;Точка отсчёта;10;7200
2026-W27;P017;B023;Музыка дождя;11;8140
2026-W27;P017;B024;Книга открытий;12;9120
2026-W27;P018;B001;Тихий сад;13;3900
2026-W27;P018;B002;Северный экспресс;14;4480
2026-W27;P018;B003;Дом у маяка;10;3400
2026-W27;P018;B004;Игры разума;11;3960
2026-W27;P018;B005;Шёпот времени;12;4560
2026-W27;P018;B006;Дорога домой;13;5200
2026-W27;P018;B007;Новый горизонт;14;5880
2026-W27;P018;B008;История города;10;4400
2026-W27;P018;B009;Морской ветер;11;5060
2026-W27;P018;B010;Зимний свет;12;5760
2026-W27;P018;B011;Летние письма;13;6500
2026-W27;P018;B012;Семейный альбом;14;7280
2026-W27;P018;B013;Научный поиск;10;5400
2026-W27;P018;B014;Большое путешествие;11;6160
2026-W27;P018;B015;Сила привычки;12;6960
2026-W27;P018;B016;Язык чисел;13;7800
2026-W27;P018;B017;Время читать;14;8680
2026-W27;P018;B018;Открытая дверь;10;6400
2026-W27;P018;B019;Дальний берег;11;7260
2026-W27;P018;B020;Карта мира;12;8160
2026-W27;P018;B021;Садовые истории;13;9100
2026-W27;P018;B022;Точка отсчёта;14;10080
2026-W27;P018;B023;Музыка дождя;10;7400
2026-W27;P018;B024;Книга открытий;11;8360
2026-W27;P019;B001;Тихий сад;12;3600
2026-W27;P019;B002;Северный экспресс;13;4160
2026-W27;P019;B003;Дом у маяка;14;4760
2026-W27;P019;B004;Игры разума;10;3600
2026-W27;P019;B005;Шёпот времени;11;4180
2026-W27;P019;B006;Дорога домой;12;4800
2026-W27;P019;B007;Новый горизонт;13;5460
2026-W27;P019;B008;История города;14;6160
2026-W27;P019;B009;Морской ветер;10;4600
2026-W27;P019;B010;Зимний свет;11;5280
2026-W27;P019;B011;Летние письма;12;6000
2026-W27;P019;B012;Семейный альбом;13;6760
2026-W27;P019;B013;Научный поиск;14;7560
2026-W27;P019;B014;Большое путешествие;10;5600
2026-W27;P019;B015;Сила привычки;11;6380
2026-W27;P019;B016;Язык чисел;12;7200
2026-W27;P019;B017;Время читать;13;8060
2026-W27;P019;B018;Открытая дверь;14;8960
2026-W27;P019;B019;Дальний берег;10;6600
2026-W27;P019;B020;Карта мира;11;7480
2026-W27;P019;B021;Садовые истории;12;8400
2026-W27;P019;B022;Точка отсчёта;13;9360
2026-W27;P019;B023;Музыка дождя;14;10360
2026-W27;P019;B024;Книга открытий;10;7600
2026-W27;P020;B001;Тихий сад;11;3300
2026-W27;P020;B002;Северный экспресс;12;3840
2026-W27;P020;B003;Дом у маяка;13;4420
2026-W27;P020;B004;Игры разума;14;5040
2026-W27;P020;B005;Шёпот времени;10;3800
2026-W27;P020;B006;Дорога домой;11;4400
2026-W27;P020;B007;Новый горизонт;12;5040
2026-W27;P020;B008;История города;13;5720
2026-W27;P020;B009;Морской ветер;14;6440
2026-W27;P020;B010;Зимний свет;10;4800
2026-W27;P020;B011;Летние письма;11;5500
2026-W27;P020;B012;Семейный альбом;12;6240
2026-W27;P020;B013;Научный поиск;13;7020
2026-W27;P020;B014;Большое путешествие;14;7840
2026-W27;P020;B015;Сила привычки;10;5800
2026-W27;P020;B016;Язык чисел;11;6600
2026-W27;P020;B017;Время читать;12;7440
2026-W27;P020;B018;Открытая дверь;13;8320
2026-W27;P020;B019;Дальний берег;14;9240
2026-W27;P020;B020;Карта мира;10;6800
2026-W27;P020;B021;Садовые истории;11;7700
2026-W27;P020;B022;Точка отсчёта;12;8640
2026-W27;P020;B023;Музыка дождя;13;9620
2026-W27;P020;B024;Книга открытий;14;10640
2026-W27;P021;B001;Тихий сад;10;3000
2026-W27;P021;B002;Северный экспресс;11;3520
2026-W27;P021;B003;Дом у маяка;12;4080
2026-W27;P021;B004;Игры разума;13;4680
2026-W27;P021;B005;Шёпот времени;14;5320
2026-W27;P021;B006;Дорога домой;10;4000
2026-W27;P021;B007;Новый горизонт;11;4620
2026-W27;P021;B008;История города;12;5280
2026-W27;P021;B009;Морской ветер;13;5980
2026-W27;P021;B010;Зимний свет;14;6720
2026-W27;P021;B011;Летние письма;10;5000
2026-W27;P021;B012;Семейный альбом;11;5720
2026-W27;P021;B013;Научный поиск;12;6480
2026-W27;P021;B014;Большое путешествие;13;7280
2026-W27;P021;B015;Сила привычки;14;8120
2026-W27;P021;B016;Язык чисел;10;6000
2026-W27;P021;B017;Время читать;11;6820
2026-W27;P021;B018;Открытая дверь;12;7680
2026-W27;P021;B019;Дальний берег;13;8580
2026-W27;P021;B020;Карта мира;14;9520
2026-W27;P021;B021;Садовые истории;10;7000
2026-W27;P021;B022;Точка отсчёта;11;7920
2026-W27;P021;B023;Музыка дождя;12;8880
2026-W27;P021;B024;Книга открытий;13;9880
2026-W27;P022;B001;Тихий сад;14;4200
2026-W27;P022;B002;Северный экспресс;10;3200
2026-W27;P022;B003;Дом у маяка;11;3740
2026-W27;P022;B004;Игры разума;12;4320
2026-W27;P022;B005;Шёпот времени;13;4940
2026-W27;P022;B006;Дорога домой;14;5600
2026-W27;P022;B007;Новый горизонт;10;4200
2026-W27;P022;B008;История города;11;4840
2026-W27;P022;B009;Морской ветер;12;5520
2026-W27;P022;B010;Зимний свет;13;6240
2026-W27;P022;B011;Летние письма;14;7000
2026-W27;P022;B012;Семейный альбом;10;5200
2026-W27;P022;B013;Научный поиск;11;5940
2026-W27;P022;B014;Большое путешествие;12;6720
2026-W27;P022;B015;Сила привычки;13;7540
2026-W27;P022;B016;Язык чисел;14;8400
2026-W27;P022;B017;Время читать;10;6200
2026-W27;P022;B018;Открытая дверь;11;7040
2026-W27;P022;B019;Дальний берег;12;7920
2026-W27;P022;B020;Карта мира;13;8840
2026-W27;P022;B021;Садовые истории;14;9800
2026-W27;P022;B022;Точка отсчёта;10;7200
2026-W27;P022;B023;Музыка дождя;11;8140
2026-W27;P022;B024;Книга открытий;12;9120
2026-W27;P023;B001;Тихий сад;13;3900
2026-W27;P023;B002;Северный экспресс;14;4480
2026-W27;P023;B003;Дом у маяка;10;3400
2026-W27;P023;B004;Игры разума;11;3960
2026-W27;P023;B005;Шёпот времени;12;4560
2026-W27;P023;B006;Дорога домой;13;5200
2026-W27;P023;B007;Новый горизонт;14;5880
2026-W27;P023;B008;История города;10;4400
2026-W27;P023;B009;Морской ветер;11;5060
2026-W27;P023;B010;Зимний свет;12;5760
2026-W27;P023;B011;Летние письма;13;6500
2026-W27;P023;B012;Семейный альбом;14;7280
2026-W27;P023;B013;Научный поиск;10;5400
2026-W27;P023;B014;Большое путешествие;11;6160
2026-W27;P023;B015;Сила привычки;12;6960
2026-W27;P023;B016;Язык чисел;13;7800
2026-W27;P023;B017;Время читать;14;8680
2026-W27;P023;B018;Открытая дверь;10;6400
2026-W27;P023;B019;Дальний берег;11;7260
2026-W27;P023;B020;Карта мира;12;8160
2026-W27;P023;B021;Садовые истории;13;9100
2026-W27;P023;B022;Точка отсчёта;14;10080
2026-W27;P023;B023;Музыка дождя;10;7400
2026-W27;P023;B024;Книга открытий;11;8360
2026-W27;P024;B001;Тихий сад;12;3600
2026-W27;P024;B002;Северный экспресс;13;4160
2026-W27;P024;B003;Дом у маяка;14;4760
2026-W27;P024;B004;Игры разума;10;3600
2026-W27;P024;B005;Шёпот времени;11;4180
2026-W27;P024;B006;Дорога домой;12;4800
2026-W27;P024;B007;Новый горизонт;13;5460
2026-W27;P024;B008;История города;14;6160
2026-W27;P024;B009;Морской ветер;10;4600
2026-W27;P024;B010;Зимний свет;11;5280
2026-W27;P024;B011;Летние письма;12;6000
2026-W27;P024;B012;Семейный альбом;13;6760
2026-W27;P024;B013;Научный поиск;14;7560
2026-W27;P024;B014;Большое путешествие;10;5600
2026-W27;P024;B015;Сила привычки;11;6380
2026-W27;P024;B016;Язык чисел;12;7200
2026-W27;P024;B017;Время читать;13;8060
2026-W27;P024;B018;Открытая дверь;14;8960
2026-W27;P024;B019;Дальний берег;10;6600
2026-W27;P024;B020;Карта мира;11;7480
2026-W27;P024;B021;Садовые истории;12;8400
2026-W27;P024;B022;Точка отсчёта;13;9360
2026-W27;P024;B023;Музыка дождя;14;10360
2026-W27;P024;B024;Книга открытий;10;7600
2026-W27;P025;B001;Тихий сад;11;3300
2026-W27;P025;B002;Северный экспресс;12;3840
2026-W27;P025;B003;Дом у маяка;13;4420
